Product,Qty,Price
Lemonade - Black Cherry 591 Ml,1449.953,123.84
Crab - Dungeness Whole live,1059.897,37.24
Pate - Liver,2064.653,130.03
Hickory Smoke Liquid,1362.402,62.9
Cream Of Tartar,2578.004,120.9
Wine - White Cooking,2153.497,145.67
Wine - Red Black Opal Shiraz,1280.156,121.62
Garbage Bag - Clear,2287.258,147.54
Salt - Sea,1383.9,132.28
Beef Flat Iron Steak,3505.873,10.38
Rabbit - Whole,3745.539,91.55
Cheese - Brie Cups 125g,79.0,36.94
Gin - Gilbeys London Dry,3085.444,111.61
Buffalo - Striploin,2308.602,33.03
Muffin Mix - Banana Nut,141.236,143.27
Gatorade - Lemon Lime,132.338,146.53
Pineapple - Canned Rings,2120.998,85.26
Ice Cream - Chocolate,2713.588,97.65
Chocolate - Sugar Free Semi Choc,2431.74,72.26
Tequila Rose Cream Liquor,2630.516,22.34
Wine - Savigny - Les - Beaune,3884.451,148.41
Paper Towel Touchless,1076.084,39.93
Turkey Tenderloin Frozen,2191.718,50.68
Pork - Bacon Sliced,2652.192,27.33
Muffin Hinge 117n,3842.06,18.17
Island Oasis - Strawberry,2427.281,122.26
Squash - Butternut,1921.768,137.23
Salt And Pepper Mix - Black,77.344,69.45
Fish - Bones,2075.814,119.09
Chicken - Tenderloin,1433.862,58.25
Juice - Mango,548.379,22.13
Juice - Happy Planet,1671.361,101.04
Lamb Leg - Bone - In Nz,2374.494,30.52
Pastry - Cheese Baked Scones,2295.864,136.83
Ice Cream - Vanilla,705.649,71.78
Cheese - Ricotta,1038.0,21.98
Bread - Crumbs Bulk,704.132,17.54
Puree - Strawberry,2055.35,116.39
Soup - Campbells Bean Medley,496.093,134.44
Bandage - Fexible 1x3,1169.067,57.87
Cotton Wet Mop 16 Oz,349.453,44.99
Beef - Montreal Smoked Brisket,3873.236,13.99
Galliano,1454.961,44.02
Olives - Kalamata,3868.371,114.96
Ocean Spray - Kiwi Strawberry,3845.101,11.07
Cheese - Brie Roitelet,2582.098,72.3
Water Tap,1387.887,100.66
Meldea Green Tea Liquor,166.694,138.09
Wine - White Chardonnay,3478.957,40.0
Sun - Dried Tomatoes,159.129,119.17
Pepper - Pablano,125.311,120.88
Cheese - Mozzarella Buffalo,614.305,77.76
Truffle Paste,1118.283,29.67
Beef - Top Sirloin - Aaa,3823.809,14.43
Pasta - Cannelloni Sheets Fresh,467.715,113.17
Carbonated Water - Cherry,2302.669,148.51
Rice - Long Grain,942.327,142.87
Anisette - Mcguiness,457.196,129.25
Cabbage - Nappa,2417.388,12.94
Apple - Fuji,3272.528,34.7
Steel Wool S.o.s,3512.327,100.76
Wine - Magnotta - Bel Paese White,3363.355,140.46
Sauce - Cranberry,2641.9,67.21
Fudge - Chocolate Fudge,3896.904,114.74
Scallop - St. Jaques,2894.391,51.06
Mince Meat - Filling,892.894,79.83
Vanilla Beans,549.974,125.25
Wine - Stoneliegh Sauvignon,3953.948,60.98
Ham - Black Forest,2317.999,71.16
Remy Red Berry Infusion,2436.794,25.35
Wine - Barossa Valley Estate,2727.19,56.75
Ketchup - Tomato,1513.763,85.16
Beer - Alexander Kieths Pale Ale,1887.309,35.37
Pears - Anjou,2273.948,109.94
Squash - Butternut,1958.741,137.91
Tomato - Tricolor Cherry,3961.419,117.66
Bouq All Italian - Primerba,2700.858,13.91
Sprouts - Peppercress,2709.871,18.13
Cabbage - Red,230.684,125.85
Salami - Genova,1692.225,41.63
Sauce - Caesar Dressing,110.221,50.23
Pail With Metal Handle 16l White,2866.586,41.74
Lettuce - Curly Endive,847.539,143.04
Pasta - Shells Medium Dry,2609.237,35.01
Cookie Double Choco,877.931,132.71
Grapefruit - Pink,432.331,36.47
Tomatillo,1348.645,136.89
Sword Pick Asst,2640.979,32.32
Longos - Grilled Chicken With,155.983,24.33
Mcguinness - Blue Curacao,334.189,72.15
Oil - Shortening - All - Purpose,2429.157,29.38
Onions - Cooking,1469.758,121.55
Eggplant Oriental,3062.676,105.53
Turkey - Ground. Lean,567.188,148.91
Flax Seed,3865.045,62.12
Pasta - Lasagne Fresh,854.734,25.4
Beef - Texas Style Burger,1111.236,111.06
Beef - Bones Marrow,752.36,136.7
Egg Patty Fried,2778.382,63.3
Shiro Miso,3619.526,84.33
Bread Base - Toscano,3663.721,130.32
Pastry - Chocolate Marble Tea,2690.02,49.52
Sesame Seed Black,3106.178,56.2
Pasta - Tortellini Fresh,1396.609,123.8
Table Cloth 81x81 White,373.037,146.86
Coffee - 10oz Cup 92961,654.739,131.07
Sugar - Brown Individual,1027.715,57.04
Pork - Chop Frenched,1772.474,40.13
Sobe - Orange Carrot,2021.198,128.81
Boogies,408.463,125.52
Rye Special Old,1643.589,102.29
Oneshot Automatic Soap System,2499.223,71.24
Juice - Pineapple 48 Oz,1880.149,61.15
Squeeze Bottle,2935.037,48.51
Beef - Short Ribs,853.452,37.43
Red Pepper Paste,304.583,136.19
Wine - Alsace Gewurztraminer,1968.512,12.63
Lamb - Loin Trimmed Boneless,3222.438,82.83
Scallop - St. Jaques,904.523,73.37
Wine - Chianti Classico Riserva,3816.598,40.74
Bamboo Shoots - Sliced,1029.748,79.63
Energy Drink - Redbull 355ml,2367.925,109.04
Steamers White,3578.064,30.1
Shark - Loin,85.938,109.7
Foam Cup 6 Oz,1887.629,92.88
Spoon - Soup Plastic,3345.357,111.15
Cheese - Pont Couvert,3093.335,134.75
Lobster - Canned Premium,1164.544,31.97
Wine - Conde De Valdemar,1355.032,72.39
Wine - White Cooking,2874.456,92.77
Potatoes - Parissienne,3011.029,80.71
Flower - Dish Garden,3749.873,76.26
Tia Maria,2640.305,58.14
Lid - High Heat Super Clear,1848.008,125.0
Wine - Red Cabernet Sauvignon,2067.458,120.24
Cheese - Le Cheve Noir,780.101,39.8
Tomato - Plum With Basil,3942.843,39.18
Flavouring - Raspberry,774.546,27.73
Salmon - Whole 4 - 6 Pounds,2612.029,77.81
Nutmeg - Ground,897.433,141.62
Evaporated Milk - Skim,225.255,26.05
Split Peas - Green Dry,1880.848,57.66
Galliano,1393.338,134.46
Soup - Campbells Tomato Ravioli,3889.985,27.31
Ice Cream - Life Savers,3149.045,29.79
Filter - Coffee,2573.589,46.37
Pineapple - Canned Rings,1915.65,89.93
Wine - Rubyport,1692.813,65.19
Beer - Blue,660.936,109.99
Table Cloth 62x120 White,2597.24,119.58
Chocolate - Compound Coating,2143.482,137.64
Pepper - Julienne Frozen,2558.817,79.86
Sausage - Blood Pudding,171.704,74.16
Sprouts - Brussel,334.809,54.94
Appetizer - Lobster Phyllo Roll,373.888,99.5
The Pop Shoppe - Lime Rickey,2419.027,129.14
Wine - Manischewitz Concord,2506.717,115.5
Nut - Walnut Pieces,2773.41,124.22
Energy Drink Red Bull,3050.056,67.04
Oil - Olive Bertolli,3743.985,13.61
Potatoes - Idaho 80 Count,2316.347,136.71
Wine - Alsace Gewurztraminer,3435.196,133.13
Paper Cocktail Umberlla 80 - 180,3782.143,115.92
Turnip - White,300.0,145.2
Puree - Kiwi,857.019,105.04
Juice - V8 Splash,1815.462,59.07
Lamb - Loin Trimmed Boneless,1660.525,57.18
Butter - Salted Micro,3888.873,37.9
Lettuce - Iceberg,2091.252,85.58
Pastry - Trippleberry Muffin - Mini,873.76,28.42
Cheese - Goat,3841.398,130.15
Container - Clear 32 Oz,1596.982,18.5
Pate Pans Yellow,3101.737,69.71
Pepper - Red Thai,1632.449,58.58
Extract - Raspberry,3619.015,123.95
Lettuce Romaine Chopped,2145.271,77.47
Chicken - Wieners,3304.06,126.38
Bread - Rolls Corn,612.752,72.0
Goulash Seasoning,1231.007,145.58
Glass - Wine Plastic Clear 5 Oz,2466.379,98.82
Energy Drink - Franks Original,645.275,126.99
Wine - Zonnebloem Pinotage,1246.363,149.58
Oyster - In Shell,1282.16,138.37
Pork - Back Ribs,1329.0,21.82
Vinegar - Raspberry,2523.618,73.65
Pasta - Bauletti Chicken White,1850.171,58.1
Beef - Bones Cut - Up,368.621,59.46
Cheese - Mozzarella,2537.366,84.52
Cheese - Manchego Spanish,2743.389,57.34
Sprouts - Onion,2296.8,51.6
Beef - Ox Tongue Pickled,2885.523,127.24
Flour - Semolina,498.765,95.55
Wine - Saint - Bris 2002 Sauv,2240.239,100.65
Bread - Triangle White,956.346,135.87
Soup - Campbells - Chicken Noodle,95.088,28.07
Potatoes - Mini Red,59.835,53.33
Garlic - Primerba Paste,3182.881,128.04
Bread - French Baquette,388.571,13.79
Lemonade - Pineapple Passion,1581.884,30.56
Bread - French Stick,845.627,12.31
Veal - Inside Choice,1269.234,58.81
Rice - Wild,515.637,90.43
Beer - Camerons Auburn,2103.215,105.46
Skirt - 29 Foot,2361.068,90.71
Pepper - Red Bell,1186.5,100.07
Beef - Bones Cut - Up,2765.806,149.75
Foil Wrap,1615.387,13.66
Bacardi Breezer - Strawberry,2734.36,32.45
Veal - Kidney,1968.072,81.28
Foil Wrap,25.078,77.2
Lettuce - Romaine Heart,479.503,133.14
Chocolate - Compound Coating,535.388,130.67
Barramundi,985.145,61.53
Pop - Club Soda Can,1028.529,77.68
Yogurt - Blueberry 175 Gr,703.537,109.41
Bread - Corn Muffaleta Onion,1549.385,133.92
Pastry - Baked Cinnamon Stick,1264.163,146.4
Orange - Canned Mandarin,907.491,139.24
Chocolate Bar - Coffee Crisp,952.85,118.23
Seedlings - Mix Organic,1228.09,113.42
Cheese - Mix,2260.745,145.81
Eggplant - Asian,3567.588,83.07
Mushroom - Porcini Dry,117.277,98.58
Cheese - Gouda,2879.776,63.57
Savory,110.673,41.36
Fish - Soup Base Bouillon,3814.83,65.77
Oneshot Automatic Soap System,793.228,142.59
Wine - Magnotta - Belpaese,2574.731,21.26
Compound - Rum,2476.474,139.55
Duck - Fat,2037.091,131.39
Tea - Decaf Lipton,833.767,24.24
Coffee Cup 12oz 5342cd,1021.676,46.93
Cheese - Mascarpone,3892.953,92.66
Bread Sour Rolls,990.881,118.05
Coconut - Shredded Unsweet,3202.274,128.27
Ecolab Crystal Fusion,1913.535,86.62
Lemonade - Natural 591 Ml,2759.647,141.37
Beef - Outside Round,1673.685,94.97
Puree - Passion Fruit,105.647,99.07
Lemonade - Island Tea 591 Ml,486.392,120.32
Cabbage - Nappa,1258.958,136.97
Beer - Paulaner Hefeweisse,3316.823,11.3
Pepper - Paprika Hungarian,3768.287,22.94
Nut - Pistachio Shelled,1223.084,94.19
Wine - Sherry Dry Sack William,2343.537,114.35
Scallops 60/80 Iqf,982.142,105.09
Cheese - Brick With Onion,981.602,25.16
Juice - Happy Planet,2519.305,109.94
Oil - Hazelnut,1875.237,73.14
Kiwi Gold Zespri,3361.47,113.41
Oil - Macadamia,1472.005,19.69
Pur Source,3307.863,63.58
Chocolate Eclairs,209.112,63.24
Pate - Liver,919.056,141.85
Cookie Chocolate Chip With,3562.605,107.92
Chocolate - Dark Callets,3767.039,65.39
Ginger - Crystalized,351.767,23.21
Pasta - Fett Alfredo Single Serve,3671.827,19.9
Energy Drink Red Bull,3224.19,66.24
V8 - Tropical Blend,373.137,110.6
Pepper - Yellow Bell,806.741,53.66
Cheese - Stilton,1304.296,122.07
Chicken - Whole Fryers,2484.77,98.11
Bread - Multigrain Loaf,635.208,124.8
Lamb - Whole Fresh,3891.304,59.1
Cheese - Mozzarella,1336.728,73.72
Lotus Leaves,480.537,128.44
Ice Cream Bar - Hagen Daz,233.315,32.63
Chicken - Tenderloin,2735.968,18.14
Pesto - Primerba Paste,157.935,18.54
Sword Pick Asst,887.638,110.16
Turkey - Breast Double,1720.474,16.33
Cheese - Cheddar With Claret,2313.027,85.24
Cheese - La Sauvagine,2409.29,72.36
Longos - Chicken Wings,147.418,114.48
Ice Cream Bar - Hagen Daz,409.236,113.4
Tomatoes - Heirloom,3365.994,15.12
Cookies - Englishbay Wht,2606.916,108.34
Buffalo - Striploin,2761.209,120.62
Pork - Back Long Cut Boneless,1943.831,65.24
Wine - White Chardonnay,1305.217,61.08
Wine - Maipo Valle Cabernet,2757.279,51.25
Lid - 0090 Clear,2843.306,140.47
Cheese - Roquefort Pappillon,2701.799,85.3
Beans - Kidney Red Dry,2308.138,109.57
Sambuca - Ramazzotti,2763.095,110.77
Chocolate - Pistoles White,576.574,81.74
Uniform Linen Charge,3933.54,135.64
Jolt Cola - Electric Blue,2886.042,73.89
Oregano - Dry Rubbed,1678.024,81.33
Beef - Flank Steak,2111.072,102.18
Carbonated Water - Blackberry,2644.409,39.84
Sausage - Blood Pudding,1248.504,61.67
Oxtail - Cut,1390.939,70.05
Wine - Vouvray Cuvee Domaine,2461.213,25.0
Appetizer - Chicken Satay,778.423,57.87
Ham - Smoked Bone - In,2572.766,38.02
Boogies,3103.114,86.21
Pasta - Lasagna Noodle Frozen,3682.271,68.71
Wine - Rubyport,2154.452,13.59
Water Tap,1065.856,127.81
Capon - Breast Wing On,3988.546,87.68
Black Currants,926.191,59.5
Butter Ripple - Phillips,1345.951,149.99
Mudslide,550.115,122.34
Truffle Shells - Semi - Sweet,1631.657,23.86
Club Soda - Schweppes 355 Ml,192.81,65.51
Island Oasis - Wildberry,2587.628,137.61
Appetizer - Chicken Satay,2771.829,78.61
Shrimp - 31/40,1111.135,23.05
Chicken - Thigh Bone In,3981.795,37.37
Creme De Menthe Green,2018.043,34.46
Plasticforkblack,1430.442,15.96
Absolut Citron,3818.265,10.78
Chicken - Livers,3915.934,92.71
Wine - Acient Coast Caberne,3940.932,121.32
Cream - 35%,853.009,50.48
Longos - Chicken Curried,3984.129,31.47
Trueblue - Blueberry 12x473ml,3254.199,89.1
Pepper - Orange,3966.983,10.59
Gatorade - Fruit Punch,3896.623,105.44
Danishes - Mini Cheese,3842.766,121.1
Wine - White Colubia Cresh,1837.525,138.15
Banana - Leaves,2170.905,138.84
Juice - Clam 46 Oz,716.132,44.94
Jam - Blackberry 20 Ml Jar,2794.396,47.31
Chips Potato Reg 43g,705.772,22.07
Coffee - Beans Whole,3281.284,47.33
Oil - Macadamia,1069.983,14.29
Lamb - Shoulder Boneless,2562.857,142.88
Sage Ground Wiberg,98.122,108.93
Melon - Watermelon Seedless,3175.493,106.98
Broom - Angled,580.922,148.72
Scallops - In Shell,2835.566,72.73
Soup - Campbells Asian Noodle,854.972,47.1
Beef Cheek Fresh,1465.699,31.63
Red Cod Fillets - 225g,804.401,20.33
Soup - Campbells Beef Stew,1547.309,118.16
Pumpkin,799.101,127.59
Beer - Upper Canada Light,483.042,94.26
Tart Shells - Savory 2,952.433,30.01
Pheasants - Whole,2262.443,25.52
Paper Towel Touchless,3071.801,103.47
Lime Cordial - Roses,3111.93,145.42
Chips - Miss Vickies,1091.211,32.03
Lettuce - Arugula,1357.865,120.47
Foam Cup 6 Oz,993.653,117.39
Oven Mitts - 15 Inch,1369.615,38.62
Duck - Legs,2600.954,134.21
Wine - Red Cabernet Merlot,1745.571,14.71
Tuna - Loin,3970.269,57.81
Sauce - White Mix,722.015,73.78
Buffalo - Short Rib Fresh,2415.704,11.55
Beer - Camerons Auburn,2362.801,11.18
Sambuca - Ramazzotti,2521.883,18.58
Cookie - Dough Variety,1073.492,28.04
Juice - Cranberry 284ml,3519.131,109.39
Jam - Strawberry 20 Ml Jar,966.738,55.89
Lettuce - Boston Bib,507.436,81.16
Wine - White Pelee Island,1765.585,23.57
Crab Brie In Phyllo,750.342,91.34
Wine - Duboeuf Beaujolais,378.675,121.31
Duck - Breast,3867.51,149.8
Flour - So Mix Cake White,2476.381,139.63
Lentils - Green Le Puy,3102.286,64.88
Veal - Inside Choice,2452.091,112.31
Wine - Alicanca Vinho Verde,2125.84,144.34
Coffee Cup 8oz 5338cd,3866.884,94.61
Wine - Magnotta - Bel Paese White,1562.213,90.7
Beef - Short Ribs,134.339,22.69
Salmon - Whole 4 - 6 Pounds,2013.479,145.23
Vermacelli - Sprinkles Assorted,1816.019,86.46
Sambuca - Opal Nera,751.215,141.04
Wine - Pinot Noir Pond Haddock,1310.002,36.78
Spinach - Packaged,1504.123,119.62
Puree - Guava,1008.113,140.89
Miso Paste White,2494.138,48.5
Grapes - Red,3015.033,25.94
The Pop Shoppe - Cream Soda,1376.062,49.1
Veal - Slab Bacon,3244.642,142.84
Sour Puss Raspberry,2503.117,81.1
Red Currant Jelly,556.941,65.77
Spinach - Frozen,224.866,130.98
Pasta - Cheese / Spinach Bauletti,2090.765,122.06
Wine - White Lindemans Bin 95,3003.288,48.04
Squeeze Bottle,2770.345,68.08
Momiji Oroshi Chili Sauce,2720.437,77.19
Wine - Mondavi Coastal Private,2902.31,41.25
Yeast Dry - Fermipan,2264.55,145.56
Cheese - Mix,1393.839,97.43
Lotus Leaves,3676.583,33.47
Onions - Spanish,650.366,54.94
Carrots - Jumbo,3258.442,120.48
Rum - Coconut Malibu,3164.304,44.43
Cake - Night And Day Choclate,1616.26,23.3
Tea - Green,3829.845,142.92
Chocolate Bar - Coffee Crisp,3787.904,138.26
Kirsch - Schloss,3427.687,76.96
7up Diet 355 Ml,2482.811,58.75
Currants,345.738,104.12
Juice - Orangina,3284.924,93.0
Beer - Sleemans Cream Ale,1075.527,101.14
Veal - Inside Choice,3642.901,87.33
Cheese - Montery Jack,2746.576,136.51
Banana - Green,683.815,145.71
Pork - Back Ribs,310.087,67.57
Skewers - Bamboo,740.212,111.2
Muffin Mix - Carrot,2617.098,103.92
Bread - Rosemary Focaccia,483.916,24.92
Apple - Delicious Red,2136.226,10.57
Tomatoes - Grape,3786.552,27.0
V8 - Vegetable Cocktail,1150.243,32.22
Artichoke - Fresh,487.752,125.48
Juice - Happy Planet,3560.794,146.9
Chocolate - Milk Callets,2636.301,124.28
Sauce - Thousand Island,2431.34,28.59
Salt And Pepper Mix - White,2976.673,84.94
Straws - Cocktale,538.943,103.38
Coke - Diet 355 Ml,31.411,117.89
Chicken Breast Halal,1165.486,81.95
Wine - White Lindemans Bin 95,1524.018,41.55
Water - Green Tea Refresher,3669.515,105.97
Straws - Cocktale,1621.716,96.21
Edible Flower - Mixed,1563.513,14.53
Bar Bran Honey Nut,3857.754,108.33
Shark - Loin,3945.915,29.02
Gingerale - Diet - Schweppes,2016.359,139.43
Roe - Lump Fish Red,1974.534,24.77
Cranberries - Frozen,3964.444,78.05
Jameson Irish Whiskey,3775.815,122.74
Emulsifier,658.354,57.29
Food Colouring - Green,2141.97,44.72
Bread - Sour Sticks With Onion,2067.986,30.74
Gatorade - Xfactor Berry,828.423,78.53
Paste - Black Olive,1411.239,105.21
Beer - Molson Excel,1022.171,125.93
Nescafe - Frothy French Vanilla,3021.788,50.38
Soup - Canadian Pea Dry Mix,1239.373,124.64
Extract - Almond,2479.721,88.2
Wine - Rioja Campo Viejo,2989.707,143.07
Grapefruit - Pink,3538.223,137.65
Lamb - Leg Diced,2413.54,80.57
Figs,692.269,100.16
Chervil - Fresh,2758.863,62.38
Calaloo,905.491,88.18
Lamb - Bones,2376.681,42.26
Beef - Top Sirloin - Aaa,825.676,45.54
Swiss Chard - Red,1221.238,130.75
Rice - Aborio,1617.56,105.23
Appetizer - Chicken Satay,3612.089,76.13
Chocolate - Liqueur Cups With Foil,645.276,133.95
Pepper - Scotch Bonnet,3797.316,112.62
Dehydrated Kelp Kombo,3981.179,39.28
Wine - Barolo Fontanafredda,2669.156,119.32
Nacho Chips,2060.675,47.88
Cheese - Mix,817.365,34.03
Shiro Miso,3336.201,98.03
Bread - Malt,796.194,65.26
Wine - Red Marechal Foch,454.672,33.68
Ice Cream Bar - Oreo Cone,2736.018,13.2
Split Peas - Green Dry,2829.666,116.55
Squid - U 5,3970.239,138.98
Wine - Bouchard La Vignee Pinot,2758.835,115.57
Lady Fingers,1701.4,104.96
Wine - White Riesling Henry Of,2340.549,127.75
Coffee - Flavoured,3021.546,64.81
Sprouts - Pea,865.564,97.61
Sauce - Hollandaise,1608.851,33.09
Mousse - Mango,643.093,44.22
Cheese - Wine,1488.094,75.88
Gingerale - Schweppes 355 Ml,3541.535,36.2
Rice Paper,903.218,118.43
Sage Derby,1660.849,135.89
Soup - Campbellschix Stew,3111.781,29.89
Soup - Campbells Lentil,950.665,57.15
Muffin Mix - Carrot,933.695,30.33
Pop Shoppe Cream Soda,3207.197,25.27
Ecolab - Hobart Upr Prewash Arm,749.234,112.03
Wine - Ej Gallo Sierra Valley,3326.89,138.76
Ecolab - Hobart Upr Prewash Arm,3414.036,55.87
Wine - Cotes Du Rhone Parallele,259.677,27.03
Lamb - Leg Boneless,2063.021,127.48
Coke - Classic 355 Ml,694.012,63.59
Saskatoon Berries - Frozen,3786.532,87.82
Pails With Lids,1555.882,86.82
Dried Apple,706.859,49.86
Container - Clear 32 Oz,3040.335,109.81
Sansho Powder,3760.884,55.6
Sauce - Thousand Island,1551.213,147.99
Contreau,3156.792,75.52
Oil - Macadamia,1394.723,89.15
Beer - Pilsner Urquell,3976.532,141.47
Plastic Arrow Stir Stick,126.145,139.31
Cheese - Marble,957.733,56.51
Venison - Racks Frenched,3181.596,135.37
Pasta - Elbows Macaroni Dry,418.138,67.29
Cheese - Havarti Roasted Garlic,3909.341,78.33
Okra,572.86,145.75
Basil - Dry Rubbed,3905.801,13.29
Lamb - Loin Trimmed Boneless,2213.692,117.63
Beer - Molson Excel,3335.407,11.19
Wine - Red Cooking,3234.619,54.41
Butcher Twine 4r,13.859,51.93
Orange - Canned Mandarin,1947.596,69.18
Mushroom - Oyster Fresh,3905.446,54.39
Beef Striploin Aaa,1515.191,66.87
Chicken - Whole Fryers,3914.72,143.44
Asparagus - Green Fresh,146.801,139.8
Coffee Decaf Colombian,1545.033,72.19
Shrimp - Black Tiger 6 - 8,3048.736,65.0
Versatainer Nc - 9388,1163.856,50.59
Wine - Pinot Noir Mondavi Coastal,342.218,136.23
